Year,Feature,Coefficient,Abs_Coefficient
2019,AGE_CATEGORIES,0.6534720009127919,0.6534720009127919
2019,BMICAT,0.4818160767826276,0.4818160767826276
2019,HEALTH_STATUS,-0.3075508605104897,0.3075508605104897
2019,HEALTH_CARE_COVERAGE,-0.13320576291622913,0.13320576291622913
2019,SMOKER,-0.1028991710067649,0.1028991710067649
2019,POOR_PHYSICAL_HEALTH_DAYS,0.06009072147017437,0.06009072147017437
2019,EDUCATION_LEVEL,-0.04841995842479416,0.04841995842479416
2019,SEX,-0.03798734874144918,0.03798734874144918
2019,EXERCISE,0.013493568172092305,0.013493568172092305
2019,INCOME,-0.008962533620484438,0.008962533620484438
2020,AGE_CATEGORIES,0.6477576898274243,0.6477576898274243
2020,BMICAT,0.46447922329982994,0.46447922329982994
2020,HEALTH_STATUS,-0.303378628825046,0.303378628825046
2020,HEALTH_CARE_COVERAGE,-0.15165884414300157,0.15165884414300157
2020,SMOKER,-0.09500289446613655,0.09500289446613655
2020,EXERCISE,0.054157371012175215,0.054157371012175215
2020,EDUCATION_LEVEL,-0.038749472789543195,0.038749472789543195
2020,POOR_PHYSICAL_HEALTH_DAYS,0.02789076689995632,0.02789076689995632
2020,SEX,-0.023123830506968424,0.023123830506968424
2020,INCOME,-0.014693263399491287,0.014693263399491287
2021,AGE_CATEGORIES,0.640039299211674,0.640039299211674
2021,BMICAT,0.465638306485422,0.465638306485422
2021,HEALTH_STATUS,-0.30308812883992603,0.30308812883992603
2021,HEALTH_CARE_COVERAGE,-0.15077630102759296,0.15077630102759296
2021,SMOKER,-0.09826301234431169,0.09826301234431169
2021,EXERCISE,0.05165177386132444,0.05165177386132444
2021,POOR_PHYSICAL_HEALTH_DAYS,0.027813204228639025,0.027813204228639025
2021,EDUCATION_LEVEL,-0.017424123674492368,0.017424123674492368
2021,SEX,-0.014652914969880953,0.014652914969880953
2021,INCOME,-0.0030801875813987406,0.0030801875813987406
2022,AGE_CATEGORIES,0.6557805083354263,0.6557805083354263
2022,BMICAT,0.44937106659001025,0.44937106659001025
2022,HEALTH_STATUS,-0.29033787121371124,0.29033787121371124
2022,HEALTH_CARE_COVERAGE,-0.14112901847920525,0.14112901847920525
2022,SMOKER,-0.09414684665070355,0.09414684665070355
2022,EXERCISE,0.05523179230038107,0.05523179230038107
2022,EDUCATION_LEVEL,-0.0390914914583494,0.0390914914583494
2022,POOR_PHYSICAL_HEALTH_DAYS,0.03407225282667317,0.03407225282667317
2022,INCOME,-0.007319187080863358,0.007319187080863358
2022,SEX,-0.003715581721878139,0.003715581721878139
2023,AGE_CATEGORIES,0.6630435867869737,0.6630435867869737
2023,BMICAT,0.45245656142710416,0.45245656142710416
2023,HEALTH_STATUS,-0.2877468710507751,0.2877468710507751
2023,HEALTH_CARE_COVERAGE,-0.14460650401542766,0.14460650401542766
2023,SMOKER,-0.10041096136757365,0.10041096136757365
2023,EXERCISE,0.06890071068962556,0.06890071068962556
2023,EDUCATION_LEVEL,-0.03635764176730938,0.03635764176730938
2023,POOR_PHYSICAL_HEALTH_DAYS,0.03200522280549591,0.03200522280549591
2023,INCOME,-0.014791031908855947,0.014791031908855947
2023,SEX,-0.008853703019133134,0.008853703019133134
2024,AGE_CATEGORIES,0.6669266937075283,0.6669266937075283
2024,BMICAT,0.43462503398487323,0.43462503398487323
2024,HEALTH_STATUS,-0.29780183614832295,0.29780183614832295
2024,HEALTH_CARE_COVERAGE,-0.14798726471490642,0.14798726471490642
2024,SMOKER,-0.09017496292971497,0.09017496292971497
2024,EXERCISE,0.06293341528247998,0.06293341528247998
2024,EDUCATION_LEVEL,-0.02963691215327033,0.02963691215327033
2024,POOR_PHYSICAL_HEALTH_DAYS,0.028614972953083306,0.028614972953083306
2024,INCOME,-0.005469630645923965,0.005469630645923965
2024,SEX,0.0030470369100718403,0.0030470369100718403
